Ejecucion,Tama¤o,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
5,300,1014,1004,0,1000,0,0,0,0
6,300,999,1000,976,0,1049,0,0,0
7,300,0,995,1018,1004,0,0,0,0
8,300,0,1000,999,999,0,0,0,0
9,300,0,1000,994,980,0,0,0,0
10,300,0,1047,1050,1000,0,0,0,0
1,310,0,1482,999,0,997,0,0,0
2,310,0,1003,1280,0,0,1164,0,0
3,310,0,861,1089,0,0,0,0,0
4,310,1052,0,0,1266,0,0,0,0
5,310,1044,1003,976,0,996,0,0,0
6,310,0,1001,998,999,0,0,0,0
7,310,999,0,0,1001,0,0,998,0
8,310,0,999,1001,0,1018,0,0,0
9,310,0,980,999,1001,0,0,0,0
10,310,1006,1006,994,1002,0,0,0,0
1,320,1276,1038,0,1017,0,0,989,0
2,320,0,1082,1052,0,0,0,0,0
3,320,0,2240,0,1045,0,0,0,0
4,320,0,1985,1033,1004,0,0,0,0
5,320,0,0,1000,980,0,0,0,1017
6,320,0,995,985,0,0,0,0,0
7,320,1546,1068,0,1036,0,0,0,0
8,320,0,992,1024,0,982,0,0,0
9,320,0,2060,0,0,0,0,1020,0
10,320,0,1983,0,0,0,0,0,1180
1,330,1268,1025,1058,0,0,1030,0,0
2,330,0,1146,1239,0,1025,0,0,0
3,330,0,1048,1001,1000,0,0,982,0
4,330,0,994,1023,0,0,0,0,0
5,330,0,1001,0,1000,0,0,1000,0
6,330,0,1000,2000,1000,0,0,0,0
7,330,999,999,1000,0,0,0,0,0
8,330,0,999,1483,516,0,0,999,0
9,330,0,1000,999,1000,0,0,0,0
10,330,0,999,1000,809,0,0,1189,0
1,340,0,1037,1956,0,1034,0,0,0
2,340,0,1624,0,2364,0,0,0,0
3,340,0,308,1034,1039,0,0,999,0
4,340,0,2000,1000,0,1327,0,0,0
5,340,674,2000,1000,998,0,0,0,0
6,340,999,1000,999,0,1000,0,0,0
7,340,0,1999,999,0,1000,0,0,0
8,340,0,1036,1323,676,0,0,0,0
9,340,0,1000,1000,999,0,0,0,0
10,340,1000,1261,737,1345,0,0,654,0
1,350,1000,0,2009,1039,0,0,0,0
2,350,0,714,1000,0,0,0,0,0
3,350,0,1000,999,1000,1000,0,0,0
4,350,999,2000,999,1000,0,0,0,0
5,350,999,1000,1320,679,1003,0,0,0
6,350,0,1996,999,0,1000,0,0,0
7,350,0,1999,0,1320,0,0,0,999
8,350,0,1294,0,0,1000,0,0,0
9,350,0,1000,2000,0,0,0,0,0
10,350,999,1000,999,0,1000,0,0,0
1,360,0,2008,989,999,0,0,0,0
2,360,999,1000,1325,675,1000,0,0,0
3,360,0,2004,995,1000,0,0,0,0
4,360,999,1093,1906,0,1000,0,0,0
5,360,999,1000,999,1000,0,0,0,1000
6,360,0,999,1320,679,1000,0,0,0
7,360,0,1000,2018,982,0,0,0,0
8,360,0,1992,999,999,0,0,0,0
9,360,1000,1321,678,1000,0,0,999,0
10,360,0,2035,1030,974,0,0,0,995
1,370,1000,1000,1000,1319,680,0,0,0
2,370,1000,1999,999,1000,0,0,0,0
3,370,1000,514,2038,0,999,0,0,0
4,370,0,2000,2015,0,984,0,0,0
5,370,999,999,1000,1000,0,1000,0,0
6,370,0,1000,1000,0,999,0,0,0
7,370,1000,1039,965,994,0,0,1000,0
8,370,0,2000,1000,0,1317,0,0,0
9,370,682,999,1000,1000,0,1000,0,0
10,370,0,1999,1000,0,0,0,0,0
1,380,950,999,1000,1020,0,0,0,0
2,380,979,999,1000,999,0,0,0,0
3,380,1000,999,1000,0,1000,0,0,0
4,380,1012,986,1000,1100,0,0,0,0
5,380,0,999,2000,999,0,0,0,999
6,380,0,1000,2073,0,927,0,0,0
